longitude	latitude	group
Sample1.pop1	39.0722614728332	26.8197703009081	1
Sample2.pop1	31.4937287321331	23.3445994057182	1
Sample3.pop1	42.3198300753654	22.7191808335972	1
Sample4.pop1	33.9331546430621	14.9567084090934	1
Sample5.pop1	37.5056664002073	15.335011367065	1
Sample6.pop1	37.6669255671616	17.3812872946614	1
Sample7.pop1	36.9053615748379	27.581434446638	1
Sample8.pop1	39.3215570093835	24.634456590822	1
Sample9.pop1	32.7520340547164	26.2565954873752	1
Sample10.pop1	31.9875712072705	24.6628359028607	1
Sample11.pop1	34.289102863954	18.3969097118744	1
Sample12.pop1	28.9679308305038	18.4389993317143	1
Sample13.pop1	30.5816635239245	24.5577593813456	1
Sample14.pop1	33.1727037422918	25.7103069587303	1
Sample15.pop1	30.3890561803493	22.9394005785901	1
Sample16.pop1	37.8405891118465	24.8328809249654	1
Sample17.pop1	33.298480791603	26.8477881867862	1
Sample18.pop1	38.0695846042479	24.3032243523811	1
Sample19.pop1	30.9238035474115	20.4601038136352	1
Sample20.pop1	30.4562079316049	17.5289140360708	1
Sample21.pop1	33.8314140419641	20.1537327507687	1
Sample22.pop1	34.1997373596904	16.6803546903893	1
Sample23.pop1	39.7634955388428	20.3875574128674	1
Sample24.pop1	36.1034680799168	21.5181839708463	1
Sample25.pop1	40.241962296247	23.0651110559831	1
Sample26.pop1	29.6219520052025	22.6319673705138	1
Sample27.pop1	37.9313562389715	16.9874228535697	1
Sample28.pop1	29.3502339422241	17.9354716055226	1
Sample29.pop1	34.8036559354025	20.8019693976188	1
Sample30.pop1	36.533356773366	21.5721109113406	1
Sample31.pop1	28.9410597118739	23.5447058950559	1
Sample32.pop1	37.0832541928085	26.0885695008632	1
Sample33.pop1	32.6597137876059	26.3128336663975	1
Sample34.pop1	39.1099544157743	22.7174655166041	1
Sample35.pop1	34.3900578112552	18.7903684105533	1
Sample36.pop1	30.6497100505972	21.9668742370065	1
Sample37.pop1	29.2552664627378	18.7796423034365	1
Sample38.pop1	37.4117782946779	17.8997214764282	1
Sample39.pop2	30.6265929816997	6.42608014467079	2
Sample40.pop2	33.4064787685444	-3.53958794066779	2
Sample41.pop2	33.9463408657141	5.63664282506787	2
Sample42.pop2	27.0598943853839	-1.4384644325109	2
Sample43.pop2	35.1952226999121	-4.7996927621608	2
Sample44.pop2	37.7138596911213	2.89019419447751	2
Sample45.pop2	29.401356811554	4.33354922742431	2
Sample46.pop2	28.7054027657891	5.54081315982024	2
Sample47.pop2	29.2481659712223	-4.04941395638132	2
Sample48.pop2	26.3086671193673	1.16476309459889	2
Sample49.pop2	32.3323566256368	-2.0847611886911	2
Sample50.pop2	38.3603589789728	-0.272992823616402	2
Sample51.pop2	28.4127128116935	-3.4632517431195	2
Sample52.pop2	30.6410336093541	0.669259675376713	2
Sample53.pop2	35.8918711174312	-4.88495303273955	2
Sample54.pop2	36.9196380362264	-1.28832936405315	2
Sample55.pop2	30.4163141185325	-1.44364993109775	2
Sample56.pop3	18.5392059239763	12.0701682116977	3
Sample57.pop3	25.6953320702502	13.03740696129	3
Sample58.pop3	18.2149868395075	18.1422709955637	3
Sample59.pop3	21.0988697716357	14.84432216156	3
Sample60.pop3	14.1446884270868	8.92000094596484	3
Sample61.pop3	15.6754767375457	17.4888905649987	3
Sample62.pop3	16.669257912777	16.0778574263948	3
Sample63.pop3	17.5853906042802	12.2111291962574	3
Sample64.pop3	13.694499116263	11.2402952563238	3
Sample65.pop3	19.5237324406864	7.09949596298854	3
Sample66.pop3	23.5950417779573	13.9915525233796	3
Sample67.pop3	24.3282950567323	7.70564003403549	3
Sample68.pop3	17.498449261346	6.0231027715271	3
Sample69.pop3	21.9272902012891	13.3850255192194	3
Sample70.pop3	18.934785256505	9.47390452978849	3
Sample71.pop3	22.3798747702784	6.96304230215725	3
Sample72.pop3	23.7392041387045	17.5478456189182	3
Sample73.pop3	27.1155072704181	13.8541898574452	3
Sample74.pop3	23.5368696760759	9.98017481660774	3
Sample75.pop3	17.3750791401468	9.87246636768713	3
Sample76.pop3	16.6977181355034	16.4186955977371	3
Sample77.pop3	20.8784893504689	11.0032850997318	3
Sample78.pop3	15.2002364817671	16.0091832712487	3
Sample79.pop3	16.3939323287289	14.024221508124	3
Sample80.pop3	22.5931616764569	17.9989001553108	3
Sample81.pop4	30.7654704846847	2.01726336910547	4
Sample82.pop4	36.489037440675	-6.88429098396531	4
Sample83.pop4	26.1378128254431	-2.27080355918061	4
Sample84.pop4	26.5909076779172	-10.2784071953939	4
Sample85.pop4	32.569773330739	-4.81237519987073	4
Sample86.pop4	33.6366689007254	-3.65323384267952	4
Sample87.pop4	30.4672660865918	-4.34981255163572	4
Sample88.pop4	28.9054719742696	-3.06062167445695	4
Sample89.pop4	27.3823528298883	-9.95326004596616	4
Sample90.pop4	27.6019708410612	-9.86185557373627	4
Sample91.pop4	35.1323793866095	-7.84446969693752	4
Sample92.pop4	24.7511654742026	-2.91223076020364	4
Sample93.pop4	27.2065469984748	-5.91903377032378	4
Sample94.pop4	24.8960155566237	-6.40852026663667	4
Sample95.pop4	33.0136741242519	-4.90034978373287	4
Sample96.pop4	25.545618026377	-0.535855662611789	4
Sample97.pop4	29.4332181488074	-0.59000674598099	4
Sample98.pop4	27.2013126563864	-0.294213170229895	4
Sample99.pop4	34.0649743548723	-8.12286952976343	4
Sample100.pop4	27.7687284116349	0.524214152821425	4
