longitude	latitude	group
Sample1.pop1	10.9382918892556	23.2459784706776	1
Sample2.pop1	18.0072146250721	21.6973929284127	1
Sample3.pop1	11.986409891492	21.8349435206827	1
Sample4.pop1	15.6378813796101	21.3781491164612	1
Sample5.pop1	10.1390190508548	17.6377619496443	1
Sample6.pop1	11.495377789422	24.3201211275546	1
Sample7.pop1	15.0657537769276	17.9510198375901	1
Sample8.pop1	15.2536485870359	16.2185992884351	1
Sample9.pop1	12.1184482672867	24.245740693937	1
Sample10.pop1	9.96393380765155	22.1632873541851	1
Sample11.pop1	15.2315982466053	24.1282439049828	1
Sample12.pop1	16.6633666857623	21.4877021112618	1
Sample13.pop1	11.967150204634	16.8662157126025	1
Sample14.pop1	14.1437975741174	21.7569159693676	1
Sample15.pop1	15.6399001795386	17.3969238436806	1
Sample16.pop1	15.2823483013937	25.1047193319926	1
Sample17.pop1	9.82764080206912	22.5387438386318	1
Sample18.pop1	15.4002796062652	23.0090059436108	1
Sample19.pop1	13.5974017149072	21.80081113021	1
Sample20.pop1	13.435239264346	25.2710724851036	1
Sample21.pop1	15.6863920511081	22.8533833754948	1
Sample22.pop1	15.2908349796296	19.0468520281042	1
Sample23.pop1	11.3613738095528	19.7023272086055	1
Sample24.pop1	12.9591881176221	19.2228558602781	1
Sample25.pop1	14.9370646386751	22.6758414225269	1
Sample26.pop1	16.9881188897268	22.8380926715258	1
Sample27.pop1	11.1983768527462	20.5363200896609	1
Sample28.pop1	10.6430673072938	19.0508954131514	1
Sample29.pop1	9.76482127096624	18.1158627948096	1
Sample30.pop1	10.8547575555546	20.2195553202812	1
Sample31.pop1	11.5052248817085	19.7233922718854	1
Sample32.pop1	13.2459954067661	18.3754144319996	1
Sample33.pop1	12.48528874836	18.0601455945857	1
Sample34.pop1	14.0878004393334	19.2920053919169	1
Sample35.pop1	17.8274146058543	19.1883839280771	1
Sample36.pop1	17.1200393268127	19.7893037999518	1
Sample37.pop1	14.0590406642889	17.3285856481885	1
Sample38.pop1	17.8056095775859	22.950908252175	1
Sample39.pop1	10.9426208660635	17.7046948491742	1
Sample40.pop1	13.8884425244779	21.1723805532163	1
Sample41.pop2	-8.71863247353951	25.3458392766032	2
Sample42.pop2	-10.2904022635894	27.726200423055	2
Sample43.pop2	-9.67880314367324	29.1947085325133	2
Sample44.pop2	-11.3628277060963	25.5480885077367	2
Sample45.pop2	-12.0704547374815	22.6615665816415	2
Sample46.pop2	-8.50257568551361	28.0039818370964	2
Sample47.pop2	-10.0260541926826	26.9366189284432	2
Sample48.pop2	-8.16524504828608	24.8796093360979	2
Sample49.pop2	-9.86336950876204	24.0831743156259	2
Sample50.pop2	-9.31505191219939	23.2395046438533	2
Sample51.pop2	-9.0237171909702	26.2360305926345	2
Sample52.pop2	-8.52745582226581	28.1159027998133	2
Sample53.pop2	-7.33394468198456	27.8219087683235	2
Sample54.pop2	-11.6834788501047	23.4150804746335	2
Sample55.pop2	-12.9984299751437	26.9964224903374	2
Sample56.pop2	-9.51714036493407	28.2273583606917	2
Sample57.pop2	-6.19243291686398	24.614105218769	2
Sample58.pop2	-9.93677776292881	27.5355873381538	2
Sample59.pop2	-8.44789743694189	29.1882446437639	2
Sample60.pop2	-7.76319608698695	23.9383530007726	2
Sample61.pop2	-8.27906771108162	23.3607171942726	2
Sample62.pop2	-11.6530767056016	27.9418341941903	2
Sample63.pop2	-10.2178643184118	25.1318763806762	2
Sample64.pop2	-11.2367781444872	22.7710291582924	2
Sample65.pop2	-6.53028905044671	23.9532278173421	2
Sample66.pop2	-7.01094313581651	27.2907054092346	2
Sample67.pop2	-10.4708765502118	28.3963182979498	2
Sample68.pop2	-12.0267516052524	22.8508185773075	2
Sample69.pop2	-7.26659085396364	29.1112247347186	2
Sample70.pop2	-7.57617030531244	23.6163589754211	2
Sample71.pop2	-9.94577380076211	29.715720728142	2
Sample72.pop3	8.43913297114867	7.2185976010569	3
Sample73.pop3	5.78554143039628	9.848724097116	3
Sample74.pop3	5.23501848207203	12.4107912638133	3
Sample75.pop3	11.7387710221048	8.97131571218022	3
Sample76.pop3	6.76477223197718	10.8466376742256	3
Sample77.pop3	8.03474684669607	6.91475671421329	3
Sample78.pop3	5.68736738294989	8.68661658241208	3
Sample79.pop3	4.78690799941507	11.1445413923149	3
Sample80.pop3	8.26127428046027	14.5033659701731	3
Sample81.pop3	6.90307825738677	13.777623469737	3
Sample82.pop3	8.24866264296876	7.33788325618454	3
Sample83.pop3	6.02309390676031	10.4165140165014	3
Sample84.pop3	6.38371354449737	9.58120390745258	3
Sample85.pop3	11.6827243703132	11.0618882580443	3
Sample86.pop3	8.47089861667681	15.8319117308213	3
Sample87.pop3	10.3212356939626	12.4258447249404	3
Sample88.pop3	11.3239599888628	14.5167525368758	3
Sample89.pop3	6.73782689386695	13.1962199491303	3
Sample90.pop3	3.66123269523378	12.3438954764569	3
Sample91.pop3	7.5564795493004	10.8357724665545	3
Sample92.pop3	9.9993212864903	12.3033688004393	3
Sample93.pop3	10.8156906193024	12.5247693346079	3
Sample94.pop3	9.28665898820746	12.2289130334008	3
Sample95.pop3	7.30548515591221	8.16507658192013	3
Sample96.pop3	5.26859657329293	10.5505600071011	3
Sample97.pop3	10.2722007164538	12.9021667846241	3
Sample98.pop3	11.774013472252	8.68020797792788	3
Sample99.pop3	5.07175202996915	12.7190937204715	3
Sample100.pop3	3.98301787002706	9.29537241958721	3
